mot chinois;prononciation;traduction litterale;Équivalent 1;Équivalent 2;Équivalent 3;;;;;;;;
集腋成裘;jí yè chéng qiú;en rassemblant les peaux des aisselles on arrive à faire une robe de fourrure;goutte à goutte on remplit la cave (Prov.);les petits ruisseaux font les grandes rivières (Prov.);maille à maille se fait le haubergeon (Prov.).;;;;;;;;
巾帼须眉;jīn guó xū méi;femme qui a barbe et sourcils;femme qui agit et parle comme un homme.;;;;;;;;;;
须眉男子;xū méi nán zǐ;homme à barbe et à sourcils épais;homme véritable;homme de virils;;;;;;;;;
须髯如戟;xū rán rú jǐ   ; poils de barbe hérissés comme des lances;avoir une barbe dure;air viril;;;;;;;;;
百口莫辨;bǎi kǒu mò biàn   ; cent bouches ne suffiraient à se défendre;ne trouver aucun moyen de se justifier;;;;;;;;;;
笨嘴笨舌;bèn zuǐ bèn shé   ; bouche empâtée et langue épaisse;ne pas avoir la parole facile;parler avec difficulté;bégayer  ;;;;;;;;
闭口不言;bì kǒu bú tán   ; fermer la bouche et se taire;ne pas souffler mot de quelque chose;passer quelque chose sous silence;;rester bouche close;être (rester) muet comme une carpe;n’en souffler mot;tenir sa langue;demeurer le bec cousu;;;
赤口毒舌;chì kǒu dú shé   ; bouche de feu et langue venimeuse;mauvaise langue;(être une) langue de vipère. ;;;;;;;;;
冲口而出;chōng kǒu ’ér chū   ; parler sans réflexion;lâcher (quelques mots) sans réfléchir;(mot, parole) échappé des lèvres;;;;;;;;;
出口成章;chū kǒu chéng zhāng   ; improviser oralement un discours;s’exprimer avec facilité et élégance;avoir de la faconde;;;;;;;;;
出口伤人;chū kǒu shāng rén   ; adresser à quelqu'un des paroles blessantes;donner des coups d'épingle à quelqu'un;égratigner quelqu'un;faire une sortie contre quelqu'un;cracher son venin contre quelqu'un;ne pas parler sans médire;avoir une langue de vipère.;;;;;
大饱口福;dà bǎo kǒu fú    ; à satiété et au bonheur de la bouche;faire bonne chère;un festin. ;;;;;;;;;
杜口裹足;dù kǒu guǒ zú   ; bouche muselée et pieds ligotés;ne pas oser parler ni bouger;rester paralysé de peur. ;;;;;;;;;
多嘴多舌;duō zuǐ duō shé   ; beaucoup de bouches, beaucoup de langues;être trop bavard, trop parler;être indiscret;perdre une belle occasion de se taire;ne pas savoir tenir sa langue;avoir la langue bien pendue.;;;;;;
反咬一口;fǎn yǎo yī kǒu   ; mordre en retour son bienfaiteur;rendre le mal pour le bien;mordre le sein de sa nourrice.;;;;;;;;;
风口浪尖;fēng kǒu làng jiān   ; dans la gueule de la tempête où le vent et les vagues sont les plus élevés au paroxysme (au plus fort) de la tempête.;;;;;;;;;;;
祸从口出;huò cóng kǒu chū   ; le malheur sort de la bouche;Les malheurs proviennent de la bouche;la parole est argent, le silence est d’or (Prov.);;;;;;;;;
交口称誉;jiāo kǒu chēng yù   ; faire des éloges en chœur;rendre un hommage unanime;;;;;;;;;;
金口玉言;jīn kǒu yù yán   ; bouche d’or et paroles de jade;des paroles sages;maximes;parler d’or;paroles d’évangile. ;;;;;;;
绝口不道;jué kǒu bù dào   ; ne dire mot;ne plus parler de;garder le silence sur;;;;;;;;;
口碑载道;kǒu bēi zài dào   ; louable et digne d’être gravé sur le marbre;être de notoriété publique;notoriété (célébrité);être couvert de louanges;;;;;;;;
口不言钱;kǒu bù yán qián   ; ne jamais parler d’argent;se montrer distingué et désintéressé. ;;;;;;;;;;
口不应心;kǒu bú yīng xīn    ; les paroles ne s'adaptent pas au cœur;dire le contraire ce qu’on pense.;;;;;;;;;;
