,mot_chinois,sent_chinois,sent_fr,mot_fr
0,心急如焚,“红色联合”的指挥官心急如焚.,L’officier en chef de l’Union rouge était terriblement inquiet.,était terriblement inquiet
1,全身而退,每次他们都能在弹雨中全身而退，为自己挣到了崇高的荣誉。,"Chaque fois, ceux qui parvenaient à sortir indemnes de la pluie de projectiles étaient couverts de gloire.",ceux qui parvenaient à sortir indemnes de la pluie de projectiles 
2,牛鬼蛇神,与其他的牛鬼蛇神相比，反动学术权威有他们的特点,Les membres de l’Autorité académique réactionnaire possédaient des particularités qui les distinguaient des autres adversaires malfaisants de la révolution., des autres adversaires malfaisants
3,旷日持久,旷日持久的批判将鲜明的政治图像如水银般注入了他们的意识,"après une séance de critique ayant duré jusqu’au soir, la glorieuse idéologie politique de la révolution se déversait comme du mercure dans leur conscience, ébranlant les fondations d’un édifice intellectuel jadis façonné par le savoir et la raison.
",e ayant duré jusqu’au soir
4,牛鬼蛇神,他们的忏悔往往比那此非知识分子的牛鬼蛇神要深刻得多,Les confessions des intellectuels étaient toujours beaucoup plus profondes et sincères que celles des autres ennemis de la révolution., des autres ennemis 
5,牛鬼蛇神,只有处于第一阶段的牛鬼蛇神才能对他们那早已过度兴奋的神经产生有效的刺激,Seuls les dangereux ennemis qui restaient bloqués à la première étape étaient capables de susciter une ferveur dans leurs esprits depuis longtemps fanatisés., les dangereux ennemis
6,有备而来,并且显然有备而来,Elle avait manifestement préparé sa tirade,manifestement préparé sa tirade
7,彻头彻尾,"更是彻头彻尾的反动唯心主义……”
","Elle prétend que l'univers a des limites, ce qui n'est autre chose que de l'idéalisme réactionnaire…",autre chose que 
8,滔滔不绝,听着妻子滔滔不绝的演讲,"En entendant son épouse déverser son éloquent discours, ", déverser son éloquent discours
9,两手空空,你两手空空地上来，,Tu es venue les mains vides,les mains vides
10,迫不及待,绍琳迫不及待地要继续下去了,Shao Lin n'attendait que cette occasion, n'attendait que
11,摇摇欲坠,以维持自己那摇摇欲坠的精神免于彻底垮掉,elle devait continuer à parler sans relâche pour préserver son esprit d'un effritement total., d'un effritement total
12,不知所措,他这突然的反击令批判者们一时不知所措。,Cette soudaine contre-attaque plongea un moment ses accusateurs dans l'embarras.,dans l'embarras
13,实践出真知,这等于说正确的哲学是从天上掉下来的，这反对实践出真知,"C'est donc remettre en cause l'idée que les connaissances véritables proviennent de la pratique, "," les connaissances véritables proviennent de la pratique,"
14,无言以对,绍琳和两名大学红卫兵无言以对,Ni Shao Lin ni ses deux étudiants gardes rouges n'étaient en mesure de justifier convenablement ce paradoxe.,n'étaient en mesure de justifier convenablement ce paradoxe.
15,无坚不摧,但来自附中的四位小将自有她们“无坚不摧”的革命方式,"Mais ce n'était pas le cas des quatre jeunes filles, persuadées que la révolution ne devait souffrir aucune attaque.", ne devait souffrir aucune attaque
16,滔滔不绝,”绍琳大叫起来，又接着滔滔不绝地讲起了宇宙大爆炸,"s'égosilla Shao Lin, puis elle se lança dans un interminable réquisitoire contre la théorie du Big Bang, ", se lança dans un interminable réquisitoire
17,不由自主,她不由自主地问道,"Cependant le caractère parfaitement insolite de cette théorie intrigua la plus sagace des jeunes gardes rouges, qui ne put s'empêcher de demander :", ne put s'empêcher 
18,惊恐万状,那女孩儿惊恐万状地大叫起来, hurla la jeune fille avec fureur.,avec fureur
19,大逆不道,这句大逆不道的话在整个会场引起了骚动,Ces propos réactionnaires outranciers soulevèrent une indignation générale sur le terrain de sport et, réactionnaires outranciers
20,恼羞成怒,恼羞成怒的小红卫兵立刻做出了判断,"Blessée dans son amour-propre, la garde rouge émit un jugement radical et sans appel,",Blessée dans son amour-propre
21,渐行渐远,"像渐行渐远的脚步。
"," comme des bruits de pas, tantôt proches, tantôt éloignés."," tantôt proches, tantôt éloignés."
22,声嘶力竭,她曾声嘶力竭地哭,"Elle avait pleuré et hurlé de toutes ses forces, ",de toutes ses forces
23,空无一人,文洁默默地离开了已经空无一人一片狼藉的操场，走上回家的路。," il n'y avait déjà plus personne au milieu du chaos du terrain de sport.
", n'y avait déjà plus personne 
24,一片狼藉,文洁默默地离开了已经空无一人一片狼藉的操场，走上回家的路。," il n'y avait déjà plus personne au milieu du chaos du terrain de sport.
",au milieu du chaos
25,轰然倒下,一棵如巴特农神庙的巨柱般高大的落叶松轰然倒下，,un mélèze gros comme un pilier du Parthénon s'effondra avec fracas sur le sol,s'effondra avec fracas sur le sol
26,清晰可见,但他们渴望的战争就像草原天边那跑死马的远山，清晰可见，但到不了眼前，,Mais la guerre que tous espéraient tant était comme ces montagnes que l'on distingue au loin sans jamais parvenir à les atteindre.,l'on distingue au loin 
27,寒冷无际,在这寒冷无际的草原和森林间，,ces forêts froides et insondables,froides et insondables
28,一腔热血,燃烧是无意义的，一腔热血喷出来，比一堆牛粪凉得更快，还不如后者有使用价值。," où une giclure de sang chaud refroidissait plus vite qu'une bouse de vache, et où le purin avait davantage de valeur que le sang.
", une giclure de sang chaud
29,荒山秃岭,大片的林海化为荒山秃岭,d'immenses forêts touffues devenaient des collines chauves et arides, des collines chauves et arides
30,四季长青,四季长青的樟子松、, les pins sylvestres à feuilles persistantes,persistantes
31,皮开肉绽,使它巨大的身躯皮开肉绽, son écorce s'ouvrit et dévoila sa chair., son écorce s'ouvrit et dévoila sa chair.
32,沉默寡言,叶文洁平时沉默寡言，,Elle était d'ordinaire d'un tempérament taciturne,d'un tempérament taciturne
33,自顾自地,白沐霖自顾自地说下去,"Bai Mulin poursuivit, comme s'il se parlait à lui-même :",comme s'il se parlait à lui-même :
34,有意无意,他有意无意地四下看了看," il regarda autour de lui, ",regarda autour de lui
